Country_name,Life Ladder,Log GDP per capita,Social_support,Healthy life expectancy at birth,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Positive affect,Negative affect,Confidence in national government
Belarus,5.657649994,9.489098549,0.917898655,60.06000137,0.707080483,-0.24734436,0.708274722,0.535119176,0.269400358,0.593287706
Belarus,5.616976261,9.576188087,0.857527673,60.61999893,0.667299509,-0.226230621,0.694849432,0.502456009,0.234981403,0.543614388
Belarus,5.552915096,9.817717552,0.900255799,65.55000305,0.620979249,-0.123495042,0.654113412,0.501735687,0.232768074,0.447916299
Belarus,5.233769894,9.850861549,0.904569268,65.77500153,0.643602371,-0.176503614,0.718455493,0.408883572,0.235728621,0.421278685
Belarus,5.821453094,9.866782188,0.916740477,66,0.656933606,-0.188110471,0.545904756,0.558989465,0.189821407,0.460812598
Belgium,6.772138119,10.85792446,0.884230494,70.59999847,0.776203632,-0.174472645,0.672497511,0.699042499,0.243630841,0.327901155
Belgium,6.838760853,10.79384708,0.903558671,70.75,0.766917825,-0.168013766,0.633626759,0.619125485,0.260188788,0.294799596
Belize,6.450644493,8.904277802,0.87226665,64.30000305,0.705305934,0.031119337,0.768984437,0.731540143,0.250595719,0.255463123
Belize,5.955646515,8.898758888,0.756932497,65,0.873569071,0.02009221,0.782105386,0.735027134,0.281604409,0.384267181
Benin,3.329801559,7.865885258,0.444781214,51.95999908,0.580069304,-0.01100198,0.789862454,0.520846486,0.30910027,0.54099381
Benin,3.66713953,7.915053844,0.382373512,52.47999954,0.709476948,-0.004181409,0.825245738,0.5739097,0.302546173,0.602834523
Benin,3.870279551,7.903917313,0.477494389,53.25999832,0.772918761,-0.142089561,0.849472225,0.57443893,0.21867846,0.777150393
Bhutan,5.569091797,9.122990608,0.818948984,62.24000168,0.810201466,0.351632714,0.802428126,0.663675606,0.217349902,0.979500771
Bhutan,4.938578129,9.166809082,0.880341947,62.41999817,0.834222496,0.266833544,0.650338471,0.77463913,0.324097872,0.958492339
Bhutan,5.082128525,9.218911171,0.847574413,62.59999847,0.83010155,0.276325166,0.633955777,0.723232627,0.311589301,0.946393013
Bolivia,5.373986244,8.686211586,0.834279954,60.90000153,0.770134747,-0.044768732,0.794484198,0.708094001,0.431944966,0.536309421
Bolivia,5.628419399,8.713645935,0.796136498,61.09999847,0.779935241,6.16E-05,0.816993952,0.74573493,0.387786239,0.506285906
Bolivia,5.297872543,8.756402969,0.785262346,61.29999924,0.725619733,-0.092359528,0.801420391,0.723477721,0.392079622,0.441821098
Bolivia,6.085579395,8.772760391,0.831319928,61.5,0.778938591,-0.036766574,0.762604535,0.742098808,0.372369289,0.468150496
Bosnia and Herzegovina,4.899806976,9.253553391,0.76560384,67,0.341565669,0.005820639,0.92612499,0.570178032,0.296465814,0.403552294
Bosnia and Herzegovina,4.963477135,9.283216476,0.735232174,67,0.257533818,-0.025712101,0.958739877,0.506855667,0.390204102,
Botswana,5.451147079,9.516439438,0.831905305,49.72000122,0.857776403,-0.160515085,0.806226492,0.676590025,0.217885971,0.880429506
